Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,2020,Import,Greece,Israel,All Commodities,TOTAL,303210672
2020,2020,Export,Greece,Israel,All Commodities,TOTAL,422201843
2020,2020,Import,Greece,Italy,All Commodities,TOTAL,4602630874
2020,2020,Export,Greece,Italy,All Commodities,TOTAL,3691324653
2020,2020,Import,Greece,Côte d'Ivoire,All Commodities,TOTAL,3530032
2020,2020,Export,Greece,Côte d'Ivoire,All Commodities,TOTAL,12546377
2020,2020,Import,Greece,Jamaica,All Commodities,TOTAL,7371
2020,2020,Export,Greece,Jamaica,All Commodities,TOTAL,1135517
2020,2020,Import,Greece,Japan,All Commodities,TOTAL,166034857
2020,2020,Export,Greece,Japan,All Commodities,TOTAL,405756554
2020,2020,Import,Greece,Kazakhstan,All Commodities,TOTAL,1797136817
2020,2020,Export,Greece,Kazakhstan,All Commodities,TOTAL,10304341
2020,2020,Import,Greece,Jordan,All Commodities,TOTAL,22287498
2020,2020,Export,Greece,Jordan,All Commodities,TOTAL,43658490
2020,2020,Import,Greece,Kenya,All Commodities,TOTAL,4416563
2020,2020,Export,Greece,Kenya,All Commodities,TOTAL,8144104
2020,2020,Import,Greece,Dem. People's Rep. of Korea,All Commodities,TOTAL,29
2020,2020,Export,Greece,Dem. People's Rep. of Korea,All Commodities,TOTAL,18858
2020,2020,Import,Greece,Rep. of Korea,All Commodities,TOTAL,277211975
2020,2020,Export,Greece,Rep. of Korea,All Commodities,TOTAL,378044861
2020,2020,Import,Greece,Kuwait,All Commodities,TOTAL,1186554
2020,2020,Export,Greece,Kuwait,All Commodities,TOTAL,34968021
2020,2020,Import,Greece,Kyrgyzstan,All Commodities,TOTAL,1642048
2020,2020,Export,Greece,Kyrgyzstan,All Commodities,TOTAL,246483
2020,2020,Import,Greece,Lao People's Dem. Rep.,All Commodities,TOTAL,211107
2020,2020,Export,Greece,Lao People's Dem. Rep.,All Commodities,TOTAL,1865
2020,2020,Import,Greece,Lebanon,All Commodities,TOTAL,82568254
2020,2020,Export,Greece,Lebanon,All Commodities,TOTAL,740377288
2020,2020,Export,Greece,Lesotho,All Commodities,TOTAL,715
2020,2020,Import,Greece,Latvia,All Commodities,TOTAL,27784961
2020,2020,Export,Greece,Latvia,All Commodities,TOTAL,41703739
2020,2020,Import,Greece,Liberia,All Commodities,TOTAL,113864
2020,2020,Export,Greece,Liberia,All Commodities,TOTAL,130495960
2020,2020,Import,Greece,Libya,All Commodities,TOTAL,58316572
2020,2020,Export,Greece,Libya,All Commodities,TOTAL,719365798
2020,2020,Import,Greece,Lithuania,All Commodities,TOTAL,45506899
2020,2020,Export,Greece,Lithuania,All Commodities,TOTAL,57727271
2020,2020,Import,Greece,Luxembourg,All Commodities,TOTAL,78464548
2020,2020,Export,Greece,Luxembourg,All Commodities,TOTAL,17278629
2020,2020,Import,Greece,"China, Macao SAR",All Commodities,TOTAL,58381
2020,2020,Export,Greece,"China, Macao SAR",All Commodities,TOTAL,1137114
2020,2020,Import,Greece,Madagascar,All Commodities,TOTAL,1056197
2020,2020,Export,Greece,Madagascar,All Commodities,TOTAL,3503351
2020,2020,Import,Greece,Malawi,All Commodities,TOTAL,3114637
2020,2020,Export,Greece,Malawi,All Commodities,TOTAL,1024375
2020,2020,Import,Greece,Malaysia,All Commodities,TOTAL,81902748
2020,2020,Export,Greece,Malaysia,All Commodities,TOTAL,21740115
2020,2020,Export,Greece,Maldives,All Commodities,TOTAL,771628
2020,2020,Export,Greece,Mali,All Commodities,TOTAL,1366578
2020,2020,Import,Greece,Malta,All Commodities,TOTAL,50808357
2020,2020,Export,Greece,Malta,All Commodities,TOTAL,271789179
2020,2020,Import,Greece,Mauritania,All Commodities,TOTAL,9963605
2020,2020,Export,Greece,Mauritania,All Commodities,TOTAL,10030566
2020,2020,Import,Greece,Mauritius,All Commodities,TOTAL,19039557
2020,2020,Export,Greece,Mauritius,All Commodities,TOTAL,4442948
2020,2020,Import,Greece,Mexico,All Commodities,TOTAL,47999058
2020,2020,Export,Greece,Mexico,All Commodities,TOTAL,154874485
2020,2020,Import,Greece,"Other Asia, nes",All Commodities,TOTAL,120125173
2020,2020,Export,Greece,"Other Asia, nes",All Commodities,TOTAL,58363625
2020,2020,Import,Greece,Mongolia,All Commodities,TOTAL,3625
2020,2020,Export,Greece,Mongolia,All Commodities,TOTAL,3037674
2020,2020,Import,Greece,Rep. of Moldova,All Commodities,TOTAL,35676263
2020,2020,Export,Greece,Rep. of Moldova,All Commodities,TOTAL,14678923
2020,2020,Import,Greece,Montenegro,All Commodities,TOTAL,8205676
2020,2020,Export,Greece,Montenegro,All Commodities,TOTAL,92348563
2020,2020,Export,Greece,Montserrat,All Commodities,TOTAL,410
2020,2020,Import,Greece,Morocco,All Commodities,TOTAL,60031304
